Model #, Price, Date
iX85-03000011Y,2022-04-26,1321.0
iX85-23000011Y,2022-04-26,1470.0
iX105-03000011B,2022-04-26,1500.0
iX105-23000011B,2022-04-26,1648.0
135GL-10B-490,2022-04-26,833.0
311Y-10B5-4A5,2022-04-26,2282.0
311Y-10B7-495,2022-04-26,2515.0
311Y-10B7-4A5,2022-04-26,2615.0
313Y-10B5-495,2022-04-26,2432.0
313Y-10B5-4A5,2022-04-26,2532.0
313Y-10B7-495,2022-04-26,2765.0
313Y-10B7-4A5,2022-04-26,2865.0
592K53-X-C595,2022-04-26,2663.0
592K53-X-C5A5,2022-04-26,2930.0
594K53-X-C495,2022-04-26,2813.0
594K53-X-C595,2022-04-26,2897.0
594K53-X-C5A5,2022-04-26,2997.0
592K50-X-C595,2022-04-26,2313.0
592K50-X-C5A5,2022-04-26,2580.0
594K50-X-C495,2022-04-26,2463.0
594K50-X-C595,2022-04-26,2547.0
594K50-X-C5A5,2022-04-26,2647.0
UEW-2Y-301X,2022-04-26,200.0
UEW-2Y-311T,2022-04-26,200.0
340T-10B5-495,2022-04-26,2415.0
340T-10B5-4A5,2022-04-26,2515.0
340T-10B5-4B5,2022-04-26,2715.0
340T-10B7-495,2022-04-26,2748.0
340T-10B7-4A5,2022-04-26,2848.0
340T-10B7-4B5,2022-04-26,3048.0
340T-10B5-495N,2022-04-26,3315.0
340T-10B5-4A5N,2022-04-26,3415.0
340T-10B5-4B5N,2022-04-26,3615.0
340T-10B7-495N,2022-04-26,3648.0
340T-10B7-4A5N,2022-04-26,3748.0
340T-10B7-4B5N,2022-04-26,3948.0
UEW-2Y-340,2022-04-26,233.0
UEW-2Y-340-N,2022-04-26,300.0
UEW-NFW3-340,2022-04-26,667.0
UEW-NFW3-340-N,2022-04-26,833.0
UEW-2Y-318CR,2022-04-26,167.0
UEW-NFW3-318CR,2022-04-26,417.0
UEW-2Y-310CR,2022-04-26,167.0
UEW-NFW3-310CR,2022-04-26,417.0
MT4310E22D2LDA,2022-04-26,1458.0
LI-Q4000-1M000000-MID02,2022-04-26,1398.0
LI-QA00-1M000000-MID02,2022-04-26,1165.0
Q4000-1M00003R,2022-04-26,1990.0
Q4000-1T0000C3,2022-04-26,2041.0
